rowid,occurred_on,tipo,amount_cents,descricao,categoria
748,2025-09-22,receita,42,Interest earned - Flexible Cash Funds,Rendimentos
749,2025-09-23,despesa,5000,Trading 212,Transferências internas
750,2025-09-23,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
751,2025-09-24,receita,1000,From Flexible Cash Funds,Transferências internas
752,2025-09-24,despesa,1000,To Sonia Maria Ferreira Costa,Outras despesas
753,2025-09-24,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
754,2025-09-25,receita,1800,From Flexible Cash Funds,Transferências internas
755,2025-09-25,receita,200,From Flexible Cash Funds,Transferências internas
756,2025-09-25,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
757,2025-09-26,despesa,2000,Trading 212,Transferências internas
758,2025-09-26,receita,5300,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
759,2025-09-26,despesa,4000,To Flexible Cash Funds,Transferências internas
760,2025-09-26,receita,1300,From Flexible Cash Funds,Transferências internas
761,2025-09-26,receita,1100,From Flexible Cash Funds,Transferências internas
762,2025-09-26,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
763,2025-09-27,despesa,2000,Trading 212,Transferências internas
764,2025-09-27,despesa,1100,Irish Citylink,Transporte
765,2025-09-27,receita,1500,From Flexible Cash Funds,Transferências internas
766,2025-09-27,despesa,90,To Flexible Cash Funds,Transferências internas
767,2025-09-27,receita,1000,From Flexible Cash Funds,Transferências internas
768,2025-09-27,despesa,15,To Flexible Cash Funds,Transferências internas
769,2025-09-27,receita,790,Transfer from Ines De Oliveira Alves Vieira Estrela,Outras receitas
770,2025-09-27,despesa,890,To Flexible Cash Funds,Transferências internas
771,2025-09-27,receita,1000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
772,2025-09-27,despesa,50,To Flexible Cash Funds,Transferências internas
773,2025-09-27,receita,2000,From Flexible Cash Funds,Transferências internas
774,2025-09-27,despesa,10,To Flexible Cash Funds,Transferências internas
775,2025-09-27,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
776,2025-09-28,despesa,450,Dealz,Compras e Roupa
777,2025-09-28,receita,1000,From Flexible Cash Funds,Transferências internas
778,2025-09-28,despesa,50,To Flexible Cash Funds,Transferências internas
779,2025-09-28,despesa,100,To Flexible Cash Funds,Transferências internas
780,2025-09-28,receita,800,From Flexible Cash Funds,Transferências internas
781,2025-09-28,despesa,410,Costa Coffee,Alimentação fora
782,2025-09-28,despesa,1885,Costa Coffee,Alimentação fora
783,2025-09-28,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
784,2025-09-29,despesa,1000,Trading 212,Transferências internas
785,2025-09-29,despesa,1290,Jerry Flannery's Bar,Lazer
786,2025-09-29,despesa,300,Dealz,Compras e Roupa
787,2025-09-29,despesa,1550,Green Yard Café,Alimentação fora
788,2025-09-29,receita,17700,From Flexible Cash Funds,Transferências internas
789,2025-09-29,receita,100,From Flexible Cash Funds,Transferências internas
790,2025-09-29,receita,143230,Payment from DR JOHN CLARKE,Salário
791,2025-09-29,despesa,15500,To Joana Palminha,Transferências internas
792,2025-09-29,despesa,30000,To Flexible Cash Funds,Transferências internas
793,2025-09-29,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
794,2025-09-30,despesa,78500,To Michael Quinn,Moradia
795,2025-09-30,despesa,17,To Flexible Cash Funds,Transferências internas
796,2025-09-30,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
797,2025-10-01,receita,217,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
798,2025-10-01,despesa,217,To Flexible Cash Funds,Transferências internas
799,2025-10-01,despesa,283,ALDI,Supermercado
800,2025-10-01,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
801,2025-10-02,despesa,15071,repayment,Empréstimos e Dívidas
802,2025-10-02,receita,100,From Flexible Cash Funds,Transferências internas
803,2025-10-02,despesa,4000,Trading 212,Transferências internas
804,2025-10-02,receita,42,Interest earned - Flexible Cash Funds,Rendimentos
805,2025-10-03,receita,59,From Flexible Cash Funds,Transferências internas
806,2025-10-03,despesa,35,To Flexible Cash Funds,Transferências internas
807,2025-10-03,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
808,2025-10-04,despesa,65,Transport for Ireland - TFI,Transporte
809,2025-10-04,receita,2500,From Flexible Cash Funds,Transferências internas
810,2025-10-04,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
811,2025-10-05,receita,100,From Flexible Cash Funds,Transferências internas
812,2025-10-05,despesa,35,To Flexible Cash Funds,Transferências internas
813,2025-10-05,receita,2000,From Flexible Cash Funds,Transferências internas
814,2025-10-05,despesa,60,To Flexible Cash Funds,Transferências internas
815,2025-10-05,receita,3000,From Flexible Cash Funds,Transferências internas
816,2025-10-05,despesa,100,To Flexible Cash Funds,Transferências internas
817,2025-10-05,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
818,2025-10-06,despesa,3000,Trading 212,Transferências internas
819,2025-10-06,despesa,1640,24/7 Shop,Supermercado
820,2025-10-06,despesa,65,Transport for Ireland - TFI,Transporte
821,2025-10-06,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
822,2025-10-07,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
823,2025-10-08,receita,1800,From Flexible Cash Funds,Transferências internas
824,2025-10-08,despesa,50,To Flexible Cash Funds,Transferências internas
825,2025-10-08,despesa,1450,O'Sullivans Pharmacy,Saúde
826,2025-10-08,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
827,2025-10-09,receita,41000,From Flexible Cash Funds,Transferências internas
828,2025-10-09,despesa,100,To Flexible Cash Funds,Transferências internas
829,2025-10-09,receita,100,From Flexible Cash Funds,Transferências internas
830,2025-10-09,despesa,40000,Trading 212,Transferências internas
831,2025-10-09,despesa,1000,Trading 212,Transferências internas
832,2025-10-09,receita,5000,From Flexible Cash Funds,Transferências internas
833,2025-10-09,receita,500,From Flexible Cash Funds,Transferências internas
834,2025-10-09,despesa,36,To Flexible Cash Funds,Transferências internas
835,2025-10-09,receita,3600,From Flexible Cash Funds,Transferências internas
836,2025-10-09,despesa,5000,Trading 212,Transferências internas
837,2025-10-09,despesa,35,To Flexible Cash Funds,Transferências internas
838,2025-10-09,receita,10000,From Flexible Cash Funds,Transferências internas
839,2025-10-09,despesa,52,To Flexible Cash Funds,Transferências internas
840,2025-10-09,receita,41,Interest earned - Flexible Cash Funds,Rendimentos
841,2025-10-10,despesa,464,Amilcar Camacho,Alimentação
842,2025-10-10,despesa,865,Primor,Compras e Roupa
843,2025-10-10,despesa,100,To Flexible Cash Funds,Transferências internas
844,2025-10-10,receita,1500,From Flexible Cash Funds,Transferências internas
845,2025-10-10,despesa,1500,To Joana Palminha,Transferências internas
846,2025-10-10,despesa,7000,Trading 212,Transferências internas
847,2025-10-10,receita,25800,From Flexible Cash Funds,Transferências internas
848,2025-10-10,receita,51600,From Flexible Cash Funds,Transferências internas
849,2025-10-10,receita,105900,From Flexible Cash Funds,Transferências internas
850,2025-10-10,despesa,211875,To Flexible Cash Funds,Transferências internas
851,2025-10-10,receita,5000,From Flexible Cash Funds,Transferências internas
852,2025-10-10,despesa,500,Pagamento (Gabriel Garcia de Araujo) — 50% de Jose C F Goncalves,Viagem
853,2025-10-10,despesa,110,Pagamento (Gabriel Garcia de Araujo) — 50% de Parque Cr7,Viagem
854,2025-10-10,despesa,4000,To Flexible Cash Funds,Transferências internas
855,2025-10-10,receita,39,Interest earned - Flexible Cash Funds,Rendimentos
856,2025-10-11,despesa,40,To Flexible Cash Funds,Transferências internas
857,2025-10-11,receita,6000,From Flexible Cash Funds,Transferências internas
858,2025-10-11,despesa,5548,Pingo Doce,Supermercado
859,2025-10-11,receita,38,Interest earned - Flexible Cash Funds,Rendimentos
860,2025-10-12,despesa,6000,Trading 212,Transferências internas
861,2025-10-12,despesa,760,Sancrupan,Alimentação
862,2025-10-12,receita,10000,From Flexible Cash Funds,Transferências internas
863,2025-10-12,despesa,20,To Flexible Cash Funds,Transferências internas
864,2025-10-12,receita,38,Interest earned - Flexible Cash Funds,Rendimentos
865,2025-10-13,despesa,100,To Flexible Cash Funds,Transferências internas
866,2025-10-13,receita,146682,Payment from DR JOHN CLARKE,Salário
867,2025-10-13,despesa,67,To Flexible Cash Funds,Transferências internas
868,2025-10-13,despesa,110000,To Flexible Cash Funds,Transferências internas
869,2025-10-13,despesa,1,To Flexible Cash Funds,Transferências internas
870,2025-10-13,receita,25,Interest earned - Flexible Cash Funds,Rendimentos
871,2025-10-14,despesa,500,Sancrupan,Alimentação
872,2025-10-14,despesa,699,Amzprimeie,Assinaturas e Digital
873,2025-10-14,despesa,6080,Churrascaria Central,Supermercado
874,2025-10-14,despesa,22,To Flexible Cash Funds,Transferências internas
875,2025-10-14,despesa,100,To Flexible Cash Funds,Transferências internas
876,2025-10-14,receita,26,Interest earned - Flexible Cash Funds,Rendimentos
877,2025-10-15,despesa,100,To Flexible Cash Funds,Transferências internas
878,2025-10-15,despesa,50,To Flexible Cash Funds,Transferências internas
879,2025-10-15,despesa,1633,Continente,Supermercado
880,2025-10-15,despesa,578,Continente,Supermercado
881,2025-10-15,despesa,70,To Flexible Cash Funds,Transferências internas
882,2025-10-15,despesa,6000,Trading 212,Transferências internas
883,2025-10-15,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
884,2025-10-16,despesa,1130,Luigi's Traditional F,Lazer
885,2025-10-16,despesa,1050,Expressway,Transporte
886,2025-10-16,despesa,75,To Flexible Cash Funds,Transferências internas
887,2025-10-16,despesa,400,Bazar Popular,Alimentação
888,2025-10-16,despesa,300,Pagamento (Gabriel Garcia de Araujo) — 50% de PayPay,Viagem
889,2025-10-16,despesa,828,Pagamento (Gabriel Garcia de Araujo) — 50% de Continente,Supermercado
890,2025-10-16,receita,565,Recebimento (Gabriel Garcia de Araujo) — 50% de Luigi's Traditional F,Outras receitas
891,2025-10-16,receita,3040,Recebimento (Gabriel Garcia de Araujo) — 50% de Churrascaria Central,Outras receitas
892,2025-10-16,receita,1100,From Flexible Cash Funds,Transferências internas
893,2025-10-16,receita,817,Recebimento (Gabriel Garcia de Araujo) — 50% de Continente,Outras receitas
894,2025-10-16,receita,525,Recebimento (Gabriel Garcia de Araujo) — 50% de Expressway,Outras receitas
895,2025-10-16,despesa,100,To Flexible Cash Funds,Transferências internas
896,2025-10-16,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
897,2025-10-17,despesa,23900,Killarney Plaza Hotel,Viagem
898,2025-10-17,despesa,1125,Expressway,Transporte
899,2025-10-17,despesa,50,To Flexible Cash Funds,Transferências internas
900,2025-10-17,despesa,45,To Flexible Cash Funds,Transferências internas
901,2025-10-17,despesa,100,To Flexible Cash Funds,Transferências internas
902,2025-10-17,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
903,2025-10-18,despesa,450,Dealz,Compras e Roupa
904,2025-10-18,despesa,500,Transport for Ireland - TFI,Transporte
905,2025-10-18,despesa,855,Centra,Supermercado
906,2025-10-18,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
907,2025-10-19,receita,475,From Flexible Cash Funds,Transferências internas
908,2025-10-19,despesa,27,To Flexible Cash Funds,Transferências internas
909,2025-10-19,despesa,100,To Flexible Cash Funds,Transferências internas
910,2025-10-19,despesa,51,To Flexible Cash Funds,Transferências internas
911,2025-10-19,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
912,2025-10-20,despesa,1000,Trading 212,Transferências internas
913,2025-10-20,despesa,1273,Dunnes Stores,Supermercado
914,2025-10-20,despesa,649,Centra,Supermercado
915,2025-10-20,despesa,68,To Flexible Cash Funds,Transferências internas
916,2025-10-20,despesa,1150,Pagamento (Gabriel Garcia de Araujo) — 50% de Chatgpt,Assinaturas e Digital
917,2025-10-20,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
918,2025-10-21,despesa,1132,Just Eat,Alimentação
919,2025-10-21,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
920,2025-10-22,receita,14000,From Flexible Cash Funds,Transferências internas
921,2025-10-22,despesa,14000,To Joana Palminha irl,Transferências internas
922,2025-10-22,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
923,2025-10-23,receita,14000,From Flexible Cash Funds,Transferências internas
924,2025-10-23,despesa,100,To Flexible Cash Funds,Transferências internas
925,2025-10-23,receita,2000,From Flexible Cash Funds,Transferências internas
926,2025-10-23,despesa,100,To Flexible Cash Funds,Transferências internas
927,2025-10-23,receita,14000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
928,2025-10-23,despesa,14000,To Flexible Cash Funds,Transferências internas
929,2025-10-23,despesa,15000,Trading 212,Transferências internas
930,2025-10-23,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
931,2025-10-24,despesa,1000,Trading 212,Transferências internas
932,2025-10-24,receita,28,Interest earned - Flexible Cash Funds,Rendimentos
933,2025-10-25,despesa,80,To Flexible Cash Funds,Transferências internas
934,2025-10-25,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
935,2025-10-26,receita,2700,From Flexible Cash Funds,Transferências internas
936,2025-10-26,despesa,42,To Flexible Cash Funds,Transferências internas
937,2025-10-26,despesa,90,To Flexible Cash Funds,Transferências internas
938,2025-10-26,despesa,100,To Flexible Cash Funds,Transferências internas
939,2025-10-26,receita,2200,From Flexible Cash Funds,Transferências internas
940,2025-10-26,despesa,100,To Flexible Cash Funds,Transferências internas
941,2025-10-26,despesa,100,To Flexible Cash Funds,Transferências internas
942,2025-10-26,despesa,100,To Flexible Cash Funds,Transferências internas
943,2025-10-26,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
944,2025-10-27,despesa,600,Old Oak,Lazer
945,2025-10-27,despesa,600,Old Oak,Lazer
946,2025-10-27,despesa,1910,KC & Son & Sons,Lazer
947,2025-10-27,despesa,100,Hillbilly's,Alimentação
948,2025-10-27,despesa,958,Dunnes Stores,Supermercado
949,2025-10-27,despesa,700,The Old Town Whiskey Bar at Bodega,Lazer
950,2025-10-27,receita,1000,From Flexible Cash Funds,Transferências internas
951,2025-10-27,despesa,100,To Flexible Cash Funds,Transferências internas
952,2025-10-27,despesa,5,To Flexible Cash Funds,Transferências internas
953,2025-10-27,receita,3000,From Flexible Cash Funds,Transferências internas
954,2025-10-27,receita,150134,Payment from DR JOHN CLARKE,Salário
955,2025-10-27,despesa,7,To Flexible Cash Funds,Transferências internas
956,2025-10-27,despesa,30000,To Atlantic Technological University ATU,Educação
957,2025-10-27,despesa,24000,To Flexible Cash Funds,Transferências internas
958,2025-10-27,receita,28,Interest earned - Flexible Cash Funds,Rendimentos
959,2025-10-28,despesa,1100,Irish Citylink,Transporte
960,2025-10-28,despesa,78500,To Michael Quinn,Moradia
961,2025-10-28,despesa,4000,To Sonia Maria Ferreira Costa,Outras despesas
962,2025-10-28,despesa,393,ALDI,Supermercado
963,2025-10-28,despesa,69,To Flexible Cash Funds,Transferências internas
964,2025-10-28,despesa,79,To Flexible Cash Funds,Transferências internas
965,2025-10-28,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
966,2025-10-29,despesa,5831,Boots,Saúde
967,2025-10-29,despesa,221,Dunnes Stores,Supermercado
968,2025-10-29,despesa,70,To Flexible Cash Funds,Transferências internas
969,2025-10-29,despesa,10,To Flexible Cash Funds,Transferências internas
970,2025-10-29,receita,787,From Flexible Cash Funds,Transferências internas
971,2025-10-29,despesa,48,To Flexible Cash Funds,Transferências internas
972,2025-10-29,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
973,2025-10-30,despesa,1252,Temu,Compras e Roupa
974,2025-10-30,despesa,330,Asian Arabic Food,Lazer
975,2025-10-30,despesa,85,To Flexible Cash Funds,Transferências internas
976,2025-10-30,despesa,61,To Flexible Cash Funds,Transferências internas
977,2025-10-30,receita,5000,From Flexible Cash Funds,Transferências internas
978,2025-10-30,despesa,100,To Flexible Cash Funds,Transferências internas
979,2025-10-30,despesa,3990,ALDI,Supermercado
980,2025-10-30,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
981,2025-10-31,despesa,5000,Trading 212,Transferências internas
982,2025-10-31,despesa,1039,Tesco,Supermercado
983,2025-10-31,receita,15000,From Flexible Cash Funds,Transferências internas
984,2025-10-31,despesa,15000,To Joana Palminha,Transferências internas
985,2025-10-31,receita,2000,From Flexible Cash Funds,Transferências internas
986,2025-10-31,despesa,10,To Flexible Cash Funds,Transferências internas
987,2025-10-31,receita,23900,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
988,2025-10-31,despesa,2615,Penneys,Compras e Roupa
989,2025-10-31,despesa,100,To Flexible Cash Funds,Transferências internas
990,2025-10-31,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
991,2025-11-01,despesa,890,WhSmith,Compras e Roupa
992,2025-11-01,despesa,50,To Flexible Cash Funds,Transferências internas
993,2025-11-01,despesa,100,To Flexible Cash Funds,Transferências internas
994,2025-11-01,despesa,500,Transport for Ireland - TFI,Transporte
995,2025-11-01,despesa,80,To Flexible Cash Funds,Transferências internas
996,2025-11-01,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
997,2025-11-02,receita,15000,From Flexible Cash Funds,Transferências internas
998,2025-11-02,despesa,15071,repayment,Empréstimos e Dívidas
999,2025-11-02,despesa,600,Tesco,Supermercado
1000,2025-11-02,despesa,620,Claire's,Compras e Roupa
1001,2025-11-02,despesa,150,Euro Giant,Supermercado
1002,2025-11-02,despesa,10,To Flexible Cash Funds,Transferências internas
1003,2025-11-02,despesa,50,To Flexible Cash Funds,Transferências internas
1004,2025-11-02,receita,3000,From Flexible Cash Funds,Transferências internas
1005,2025-11-02,receita,3000,From Flexible Cash Funds,Transferências internas
1006,2025-11-02,despesa,100,To Flexible Cash Funds,Transferências internas
1007,2025-11-02,despesa,1890,Once Upon A Cup Li,Compras e Roupa
1008,2025-11-02,despesa,1,To Flexible Cash Funds,Transferências internas
1009,2025-11-02,receita,5000,From Flexible Cash Funds,Transferências internas
1010,2025-11-02,despesa,100,To Flexible Cash Funds,Transferências internas
1011,2025-11-02,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1012,2025-11-03,despesa,5000,Trading 212,Transferências internas
1013,2025-11-03,despesa,950,Dublin Coach,Viagem
1014,2025-11-03,despesa,500,Transport for Ireland - TFI,Transporte
1015,2025-11-03,receita,3000,From Flexible Cash Funds,Transferências internas
1016,2025-11-03,despesa,649,Pagamento (Gabriel Garcia de Araujo) — 50% de SuperValu,Supermercado
1017,2025-11-03,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
1018,2025-11-04,despesa,599,CapCut,Assinaturas e Digital
1019,2025-11-04,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1020,2025-11-05,receita,10000,From Flexible Cash Funds,Transferências internas
1021,2025-11-05,despesa,100,To Flexible Cash Funds,Transferências internas
1022,2025-11-05,receita,5000,From Flexible Cash Funds,Transferências internas
1023,2025-11-05,despesa,1400,To Joana Palminha,Transferências internas
1024,2025-11-05,despesa,100,To Flexible Cash Funds,Transferências internas
1025,2025-11-05,receita,28,Interest earned - Flexible Cash Funds,Rendimentos
1026,2025-11-06,despesa,10000,Trading 212,Investimentos
1027,2025-11-06,despesa,2000,Trading 212,Transferências internas
1028,2025-11-06,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1029,2025-11-07,receita,1500,From Flexible Cash Funds,Transferências internas
1030,2025-11-07,despesa,22,To Flexible Cash Funds,Transferências internas
1031,2025-11-07,receita,3800,From Flexible Cash Funds,Transferências internas
1032,2025-11-07,despesa,100,To Flexible Cash Funds,Transferências internas
1033,2025-11-07,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1034,2025-11-08,despesa,5000,Trading 212,Transferências internas
1035,2025-11-08,despesa,1478,ALDI,Supermercado
1036,2025-11-08,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1037,2025-11-09,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1038,2025-11-10,receita,75,Learn & Earn - VET,Investimentos
1039,2025-11-10,receita,150134,Payment from DR JOHN CLARKE,Salário
1040,2025-11-10,despesa,70000,To Flexible Cash Funds,Transferências internas
1041,2025-11-10,despesa,100,To Flexible Cash Funds,Transferências internas
1042,2025-11-10,despesa,30000,To investment account,Transferências internas
1043,2025-11-10,receita,30000,Top Up,Transferências internas
1044,2025-11-10,despesa,30000,To investment account,Transferências internas
1045,2025-11-10,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1046,2025-11-11,receita,75,Learn & Earn - VET,Investimentos
1047,2025-11-11,receita,75,Learn & Earn - VET,Investimentos
1048,2025-11-11,receita,50,Learn & Earn - MEW,Investimentos
1049,2025-11-11,receita,50,Learn & Earn - MEW,Investimentos
1050,2025-11-11,receita,50,Learn & Earn - LMWR,Investimentos
1051,2025-11-11,receita,50,Learn & Earn - LMWR,Investimentos
1052,2025-11-11,receita,50,Learn & Earn - LMWR,Investimentos
1053,2025-11-11,despesa,20000,Trading 212,Transferências internas
1054,2025-11-11,despesa,50,To Flexible Cash Funds,Transferências internas
1055,2025-11-11,despesa,500,QDVE,Investimentos
1056,2025-11-11,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1057,2025-11-12,despesa,1450,O'Sullivans Pharmacy,Saúde
1058,2025-11-12,despesa,15,To Flexible Cash Funds,Transferências internas
1059,2025-11-12,despesa,2285,Temu,Compras e Roupa
1060,2025-11-12,despesa,2,To Flexible Cash Funds,Transferências internas
1061,2025-11-12,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1062,2025-11-13,despesa,1898,ALDI,Supermercado
1063,2025-11-13,despesa,1,To Flexible Cash Funds,Transferências internas
1064,2025-11-13,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1065,2025-11-14,despesa,699,Amzprimeie,Assinaturas e Digital
1066,2025-11-14,despesa,65,To Flexible Cash Funds,Transferências internas
1067,2025-11-14,receita,600,From Flexible Cash Funds,Transferências internas
1068,2025-11-14,despesa,90,To Flexible Cash Funds,Transferências internas
1069,2025-11-14,receita,4000,Top Up,Transferências internas
1070,2025-11-14,despesa,30,To Flexible Cash Funds,Transferências internas
1071,2025-11-14,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1072,2025-11-15,despesa,735,Dunnes Stores,Supermercado
1073,2025-11-15,despesa,410,Tesco,Supermercado
1074,2025-11-15,despesa,2270,KC & Son & Sons,Lazer
1075,2025-11-15,receita,25500,Top Up,Transferências internas
1076,2025-11-15,despesa,89,To Flexible Cash Funds,Transferências internas
1077,2025-11-15,despesa,2,To Flexible Cash Funds,Transferências internas
1078,2025-11-15,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1079,2025-11-16,despesa,3611,Tesco,Supermercado
1080,2025-11-16,despesa,1798,Polonez,Supermercado
1081,2025-11-16,despesa,100,To Flexible Cash Funds,Transferências internas
1082,2025-11-16,despesa,20000,Trading 212,Transferências internas
1083,2025-11-16,despesa,2500,Pagamento (Gabriel Garcia de Araujo) — 50% de Circle K,Carro
1084,2025-11-16,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1085,2025-11-17,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1086,2025-11-18,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1087,2025-11-19,receita,80,From Flexible Cash Funds,Transferências internas
1088,2025-11-19,despesa,100,To Joana Palminha,Transferências internas
1089,2025-11-19,receita,4026,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
1090,2025-11-19,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1091,2025-11-20,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
1092,2025-11-21,despesa,50,To Flexible Cash Funds,Transferências internas
1093,2025-11-21,despesa,40,To Flexible Cash Funds,Transferências internas
1094,2025-11-21,despesa,12,To Flexible Cash Funds,Transferências internas
1095,2025-11-21,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1096,2025-11-22,despesa,650,Tesco,Supermercado
1097,2025-11-22,receita,30000,From Flexible Cash Funds,Transferências internas
1098,2025-11-22,despesa,100,To Flexible Cash Funds,Transferências internas
1099,2025-11-22,receita,10000,From Flexible Cash Funds,Transferências internas
1100,2025-11-22,despesa,92,To Flexible Cash Funds,Transferências internas
1101,2025-11-22,despesa,2460,Penneys,Compras e Roupa
1102,2025-11-22,despesa,188,ALDI,Supermercado
1103,2025-11-22,receita,4000,From Flexible Cash Funds,Transferências internas
1104,2025-11-22,despesa,100,To Flexible Cash Funds,Transferências internas
1105,2025-11-22,receita,4500,From Flexible Cash Funds,Transferências internas
1106,2025-11-22,despesa,68,To Flexible Cash Funds,Transferências internas
1107,2025-11-22,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1108,2025-11-23,despesa,35000,Trading 212,Transferências internas
1109,2025-11-23,despesa,10008,Trading 212,Investimentos
1110,2025-11-23,despesa,4532,Trading 212,Investimentos
1111,2025-11-23,despesa,4500,Lidl,Supermercado
1112,2025-11-23,despesa,35,To Flexible Cash Funds,Transferências internas
1113,2025-11-23,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1114,2025-11-24,despesa,2965,Penneys,Compras e Roupa
1115,2025-11-24,receita,150134,Payment from DR JOHN CLARKE,Salário
1116,2025-11-24,despesa,60000,To Flexible Cash Funds,Transferências internas
1117,2025-11-24,despesa,100,To Flexible Cash Funds,Transferências internas
1118,2025-11-24,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1119,2025-11-25,despesa,10000,Trading 212,Investimentos
1120,2025-11-25,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
1121,2025-11-26,despesa,100,To Flexible Cash Funds,Transferências internas
1122,2025-11-26,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
1123,2025-11-27,despesa,4900,Aura Leisure,Lazer
1124,2025-11-27,despesa,100,To Flexible Cash Funds,Transferências internas
1125,2025-11-27,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1126,2025-11-28,despesa,1200,Canva* I04710-42000549,Assinaturas e Digital
1127,2025-11-28,despesa,78500,To Michael Quinn,Moradia
1128,2025-11-28,receita,30000,From Flexible Cash Funds,Transferências internas
1129,2025-11-28,despesa,30000,To Atlantic Technological University ATU,Educação
1130,2025-11-28,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1131,2025-11-29,despesa,1,To Flexible Cash Funds,Transferências internas
1132,2025-11-29,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
1133,2025-11-30,despesa,399,Dunnes Stores,Supermercado
1134,2025-11-30,receita,18500,From Flexible Cash Funds,Transferências internas
1135,2025-11-30,receita,11000,From Flexible Cash Funds,Transferências internas
1136,2025-11-30,despesa,11000,To Joana Palminha,Transferências internas
1137,2025-11-30,receita,29,Interest earned - Flexible Cash Funds,Rendimentos
1138,2025-12-01,receita,3500,From Flexible Cash Funds,Transferências internas
1139,2025-12-01,despesa,1,To Flexible Cash Funds,Transferências internas
1140,2025-12-01,receita,3000,From Flexible Cash Funds,Transferências internas
1141,2025-12-01,despesa,50,To Flexible Cash Funds,Transferências internas
1142,2025-12-01,receita,30,Interest earned - Flexible Cash Funds,Rendimentos
1143,2025-12-02,despesa,983,outstanding partial repayment,Empréstimos e Dívidas
1144,2025-12-02,despesa,4899,Sports Direct,Compras e Roupa
1145,2025-12-02,despesa,2150,Polonez,Supermercado
1146,2025-12-02,receita,20000,From Flexible Cash Funds,Transferências internas
1147,2025-12-02,despesa,14088,repayment,Empréstimos e Dívidas
1148,2025-12-02,despesa,1,To Flexible Cash Funds,Transferências internas
1149,2025-12-02,receita,28,Interest earned - Flexible Cash Funds,Rendimentos
1150,2025-12-03,despesa,26,To Flexible Cash Funds,Transferências internas
1151,2025-12-03,receita,27,Interest earned - Flexible Cash Funds,Rendimentos
